CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
PETTY THEFT,12/13/16 5:30,16-917016,THEFT,22Y,3000 CALIFORNIA ST,Oakland,CA
BURG - AUTO,1/1/17 23:45,17-900095,BURGLARY-AUTO,04X,1400 ALICE ST,Oakland,CA
VANDALISM,12/13/16 10:15,16-917017,VANDALISM,02X,700 ADELINE ST,Oakland,CA
BURG - RESIDENTIAL,1/10/17 7:45,17-002486,BURGLARY-FORCIBLE ENTRY,14Y,800 WARFIELD AV,Oakland,CA
PETTY THEFT,11/20/16 20:00,16-915828,THEFT,08X,400 27TH ST,Oakland,CA
BURG - RESIDENTIAL,11/27/16 3:00,16-063596,BURGLARY-FORCIBLE ENTRY,14X,300 VAN BUREN AV,Oakland,CA
BURG - RESIDENTIAL,11/20/16 17:45,16-915831,BURGLARY-FORCIBLE ENTRY,12X,400 43RD ST,Oakland,CA
FRAUD,12/13/16 13:55,16-917018,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,07X,2200 WOOD ST,Oakland,CA
VANDALISM,12/12/16 17:30,16-916988,VANDALISM,13Z,6300 MORAGA AV,Oakland,CA
DOMESTIC VIOLENCE,12/5/16 8:00,16-064206,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,08X,400 W MACARTHUR BLVD,Oakland,CA
VANDALISM,1/14/17 6:45,17-002476,VANDALISM-$400+,26Y,6800 LION WY,Oakland,CA
PETTY THEFT,1/6/17 0:00,17-900425,THEFT,12Y,5500 MCMILLAN AV,Oakland,CA
VANDALISM,1/14/17 6:00,17-002477,VANDALISM-$400+,04X,1500 HARRISON ST,Oakland,CA
VANDALISM,1/6/17 23:30,17-900428,VANDALISM,23X,1400 40TH AV,Oakland,CA
BURG - RESIDENTIAL,12/22/16 9:40,16-917520,BURGLARY-FORCIBLE ENTRY,23X,1500 35TH AV,Oakland,CA
PETTY THEFT,1/6/17 17:20,17-900429,THEFT,30Y,00 EASTMONT TOWN CENTER,Oakland,CA
PETTY THEFT,1/13/17 19:30,17-002478,THEFT,06X,700 34TH ST,Oakland,CA
STOLEN VEHICLE,1/14/17 14:44,17-002481,VEHICLE THEFT - AUTO,34X,1900 90TH AV,Oakland,CA
BURG - AUTO,12/27/16 15:00,16-917634,BURGLARY-AUTO,77X,22ND ST,Oakland,CA
VANDALISM,1/6/17 21:00,17-900423,VANDALISM,12Y,5500 CLAREMONT AV,Oakland,CA
BURG - AUTO,12/27/16 21:30,16-917635,BURGLARY-AUTO,77X,24TH ST,Oakland,CA
PETTY THEFT,1/6/17 19:00,17-900477,THEFT,23X,3500 E 15TH ST,Oakland,CA
BURG - COMMERCIAL,12/5/16 5:49,16-064193,BURGLARY-FORCIBLE ENTRY,32Y,10700 MACARTHUR BLVD,Oakland,CA
FRAUD,12/12/16 18:55,16-916982,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,3200 E 27TH ST,Oakland,CA
BURG - AUTO,1/1/17 15:00,17-900081,BURGLARY-AUTO,77X,JOAQUIN MILLER COURT,Oakland,CA
PETTY THEFT,12/30/16 20:00,17-900036,THEFT,08X,500 40TH ST,Oakland,CA
BURG - AUTO,12/12/16 18:00,16-916984,BURGLARY-AUTO,77X,FRANKLIN ST,Oakland,CA
VANDALISM,12/12/16 8:15,16-916986,VANDALISM,08X,2500 HARRISON ST,Oakland,CA
MISDEMEANOR ASSAULT,12/5/16 7:19,16-064202,BATTERY,04X,1700 CASTRO ST,Oakland,CA
BURG - AUTO,12/30/16 21:20,17-900037,BURGLARY-AUTO,08X,2800 TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/1/17 1:15,17-900083,BURGLARY-AUTO,12X,300 41ST ST,Oakland,CA
BURG - AUTO,1/1/17 18:30,17-900087,BURGLARY-AUTO,08X,00 RANDWICK AV,Oakland,CA
BURG - AUTO,1/1/17 15:45,17-900088,BURGLARY-AUTO,14Y,3300 GRAND AV,Oakland,CA
VANDALISM,1/1/17 18:30,17-900091,VANDALISM,08X,3300 PIEDMONT AV,Oakland,CA
BURG - AUTO,12/30/16 22:30,17-900038,BURGLARY-AUTO,08X,300 27TH ST,Oakland,CA
PETTY THEFT,1/1/17 21:05,17-900093,THEFT,23X,3900 ALAMEDA AV,Oakland,CA
BURG - AUTO,12/12/16 1:00,16-916963,BURGLARY-AUTO,08X,NORTHGATE AV & 25TH ST,Oakland,CA
VANDALISM,12/12/16 1:10,16-916966,VANDALISM,14X,200 MONTECITO AV,Oakland,CA
BURG - AUTO,1/1/17 2:20,17-900070,BURGLARY-AUTO,77X,55TH 55TH ST,Oakland,CA
STOLEN VEHICLE,1/14/17 15:02,17-002471,VEHICLE THEFT - AUTO,25X,HIGH ST & MACARTHUR BLVD,Oakland,CA
BURG - AUTO,1/1/17 9:05,17-900073,BURGLARY-AUTO,12Y,300 62ND ST,Oakland,CA
VANDALISM,1/6/17 16:30,17-900422,VANDALISM,77X,17TH ST,Oakland,CA
BURG - COMMERCIAL,12/23/16 0:28,16-067370,BURGLARY-FORCIBLE ENTRY,22Y,4100 REDWOOD RD,Oakland,CA
BURG - AUTO,12/12/16 13:00,16-916968,BURGLARY-AUTO,13Y,5800 FLORENCE TER,Oakland,CA
DOMESTIC VIOLENCE,12/23/16 2:01,16-067380,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,16Y,1000 HOLLYWOOD AV,Oakland,CA
BURG - AUTO,12/12/16 2:10,16-916970,BURGLARY-AUTO,06X,700 27TH ST,Oakland,CA
PETTY THEFT,12/18/16 7:30,16-066670,THEFT,35X,8200 NEY AV,Oakland,CA
PETTY THEFT,12/12/16 12:52,16-916976,THEFT,06X,700 BROCKHURST ST,Oakland,CA
FRAUD,12/12/16 15:30,16-916980,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16Y,4400 EVANS AV,Oakland,CA
BURG - AUTO,1/1/17 12:15,17-900078,BURGLARY-AUTO,34X,1400 98TH AV,Oakland,CA
STOLEN VEHICLE,11/18/16 0:00,16-062282,ATTEMPT VEHICLE THEFT-AUTO,32X,9800 E ST,Oakland,CA
BURG - AUTO,12/29/16 21:30,16-917743,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA
BURG - AUTO,12/30/16 18:30,17-900020,BURGLARY-AUTO,03X,1000 OAK ST,Oakland,CA
BURG - AUTO,12/30/16 18:45,17-900021,BURGLARY-AUTO,02X,1100 12TH ST,Oakland,CA
PETTY THEFT,12/18/16 18:00,16-066765,THEFT,77X,34TH ST & CHESTER ST,Oakland,CA
BURG - AUTO,12/30/16 17:30,17-900022,BURGLARY-AUTO,77X,WAVERLY ST,Oakland,CA
BURG - AUTO,12/30/16 19:40,17-900023,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA
BURG - AUTO,12/30/16 21:15,17-900024,BURGLARY-AUTO,04X,500 18TH ST,Oakland,CA
VANDALISM,11/27/16 10:30,16-063505,VANDALISM,24X,2000 36TH AV,Oakland,CA
BURG - AUTO,12/30/16 22:20,17-900025,BURGLARY-AUTO,04X,17TH ST & FRANKLIN ST,Oakland,CA
BURG - AUTO,12/30/16 21:00,17-900028,BURGLARY-AUTO,77X,TELEGRAPH AVE AVE,Oakland,CA
BURG - AUTO,12/30/16 19:30,17-900029,BURGLARY-AUTO,77X,0,Oakland,CA
PETTY THEFT,1/12/17 20:00,17-002466,THEFT,07X,1200 32ND ST,Oakland,CA
BURG - AUTO,1/6/17 19:00,17-900420,BURGLARY-AUTO,04X,1400 WEBSTER ST,Oakland,CA
MISDEMEANOR ASSAULT,11/18/16 23:00,16-061612,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,34X,1900 84TH AV,Oakland,CA
DRUNKENNESS,12/5/16 2:36,16-064185,BATTERY W/SERIOUS BODILY INJURY,27X,IFO 4606 FAIRFAX AVE,Oakland,CA
FELONY ASSAULT,12/3/16 13:30,16-064147,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,32Y,2100 99TH AV,Oakland,CA
ROBBERY,12/5/16 2:50,16-064186,ROBBERY-FIREARM,19X,1400 9TH AV,Oakland,CA
VANDALISM,12/5/16 1:45,16-064187,VANDALISM,06X,800 28TH ST,Oakland,CA
VANDALISM,12/5/16 0:00,16-064191,VANDALISM,29X,2700 64TH AV,Oakland,CA
BURG - AUTO,12/18/16 15:50,16-066750,BURGLARY-AUTO,21X,2600 E 25TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/5/16 4:30,16-064192,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,14TH ST & MYRTLE ST,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 0:30,16-064162,BATTERY,29X,3200 64TH AV,Oakland,CA
BURG - AUTO,11/27/16 0:30,16-916203,BURGLARY-AUTO,04X,00 GRAND AV,Oakland,CA
BURG - AUTO,12/29/16 19:00,16-917740,BURGLARY-AUTO,77X,19TH ST,Oakland,CA
VANDALISM,12/29/16 22:15,16-917741,VANDALISM,31X,600 HEGENBERGER RD,Oakland,CA
BURG - AUTO,12/29/16 22:00,16-917742,BURGLARY-AUTO,03X,400 8TH ST,Oakland,CA
STOLEN VEHICLE,12/3/16 19:00,16-064169,VEHICLE THEFT - AUTO,17X,1000 E 19TH ST,Oakland,CA
ROBBERY,12/29/16 9:39,16-068798,ATTEMPTED ROBBERY-STRONG-ARM,08X,400 W MACARTHUR BLVD,Oakland,CA
BURG - AUTO,12/3/16 7:00,16-916658,BURGLARY-AUTO,14Y,500 FAIRBANKS AV,Oakland,CA
VANDALISM,1/6/17 16:20,17-900417,VANDALISM,29X,7000 OUTLOOK AV,Oakland,CA
PETTY THEFT,11/18/16 8:00,16-061590,THEFT,08X,3400 ANDOVER ST,Oakland,CA
BURG - RESIDENTIAL,12/29/16 18:20,16-917734,BURGLARY-FORCIBLE ENTRY,07X,800 MEAD AV,Oakland,CA
PETTY THEFT,11/18/16 17:00,16-061596,THEFT,30Y,2300 81ST AV,Oakland,CA
PETTY THEFT,11/18/16 21:00,16-061597,THEFT,17X,1800 5TH AV,Oakland,CA
FELONY ASSAULT,11/18/16 13:30,16-061600,WILLFUL POISONING/ETC FOOD/ETC,33X,9200 INTERNATIONAL BLVD,Oakland,CA
BURG - AUTO,12/29/16 19:00,16-917736,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA
DISORDERLY CONDUCT,12/29/16 20:30,16-917737,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,08X,400 ORANGE ST,Oakland,CA
PETTY THEFT,11/18/16 21:00,16-061604,THEFT,17X,400 E 19TH ST,Oakland,CA
BURG - AUTO,1/6/17 21:30,17-900418,BURGLARY-AUTO,04X,1900 FRANKLIN ST,Oakland,CA
BURG - AUTO,12/29/16 21:15,16-917739,BURGLARY-AUTO,12X,500 47TH ST,Oakland,CA
STOLEN VEHICLE,11/11/16 17:00,16-060235,VEHICLE THEFT - AUTO,04X,1500 MADISON ST,Oakland,CA
BURG - AUTO,12/30/16 13:40,17-900008,BURGLARY-AUTO,12Y,400 ALCATRAZ AV,Oakland,CA
VANDALISM,12/30/16 13:55,17-900009,VANDALISM,01X,ALICE ST & EMBARCADERO WEST,Oakland,CA
PETTY THEFT,12/16/16 15:10,16-917550,THEFT,25Y,4300 RILEA WY,Oakland,CA
GRAND THEFT,12/29/16 17:30,16-917754,GRAND THEFT,09X,5100 BROADWAY,Oakland,CA
,12/28/16 12:40,17-901404,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,1500 FRUITVALELE AVE,Oakland,CA
GRAND THEFT,12/30/16 2:00,17-900013,THEFT,17X,1900 7TH AV,Oakland,CA
PETTY THEFT,12/29/16 21:05,16-917756,THEFT,23X,3900 ALAMEDA AV,Oakland,CA
BURG - AUTO,12/30/16 15:30,17-900014,BURGLARY-AUTO,12X,400 48TH ST,Oakland,CA
GRAND THEFT,12/30/16 8:45,17-900016,GRAND THEFT,04X,300 LAKESIDE DR,Oakland,CA
FRAUD,12/30/16 18:15,17-900018,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,3000 FRUITVALE AV,Oakland,CA
BURG - AUTO,12/12/16 17:00,16-916961,BURGLARY-AUTO,08X,2300 VALDEZ ST,Oakland,CA
STOLEN VEHICLE,11/18/16 14:30,16-061579,VEHICLE THEFT - AUTO,10Y,800 43RD ST,Oakland,CA
PETTY THEFT,12/30/16 19:35,17-900019,THEFT,12X,400 49TH ST,Oakland,CA
BURG - AUTO,12/27/16 20:03,16-917633,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA
DISORDERLY CONDUCT,12/24/16 10:57,16-067853,DISTURB THE PEACE,26Y,1200 SEMINARY AV,Oakland,CA
FELONY ASSAULT,12/5/16 23:15,16-064173,ASSAULT WITH FIREARM ON PERSON,34X,94TH AVE & SUNNYSIDE ST,Oakland,CA
DOMESTIC VIOLENCE,12/5/16 0:45,16-064182,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,1000 63RD ST,Oakland,CA
PETTY THEFT,12/22/16 18:45,16-917522,THEFT,03X,400 7TH ST,Oakland,CA
STOLEN VEHICLE,12/5/16 2:00,16-064184,VEHICLE THEFT - AUTO,13X,00 CONTRA COSTA PL,Oakland,CA
STOLEN VEHICLE,12/24/16 18:00,16-067858,VEHICLE THEFT - AUTO,11X,600 ALCATRAZ AV,Oakland,CA
DISORDERLY CONDUCT,11/11/16 0:00,16-060218,DISTURB THE PEACE,27Y,6400 FLORA ST,Oakland,CA
STOLEN AND RECOVERED VEHICLE,12/24/16 12:30,16-067861,SC STOLEN VEHICLE - AUTO,19X,2200 E 15TH ST,Oakland,CA
BURG - COMMERCIAL,11/18/16 18:01,16-061576,BURGLARY-FORCIBLE ENTRY,03X,700 WEBSTER ST,Oakland,CA
STOLEN VEHICLE,11/11/16 22:00,16-060232,VEHICLE THEFT - AUTO,27Y,5900 AVENAL AV,Oakland,CA
VANDALISM,11/11/16 17:00,16-060233,VANDALISM $400 OR MORE,09X,3500 PIEDMONT AV,Oakland,CA
PETTY THEFT,12/22/16 13:00,16-917529,THEFT,16Y,800 GLENDOME CIR,Oakland,CA
BURG - AUTO,1/6/17 21:35,17-900404,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA
VANDALISM,1/6/17 21:30,17-900405,VANDALISM,02X,200 BRUSH ST,Oakland,CA
BURG - AUTO,1/6/17 11:30,17-900406,BURGLARY-AUTO,05X,MARKET ST & 20TH ST,Oakland,CA
BURG - AUTO,1/6/17 18:55,17-900408,BURGLARY-AUTO,08X,300 38TH ST,Oakland,CA
STOLEN VEHICLE,1/13/17 17:00,17-002463,VEHICLE THEFT - AUTO,32Y,2000 107TH AVE,Oakland,CA
BURG - AUTO,12/29/16 19:00,16-917749,BURGLARY-AUTO,08X,26TH ST & BROADWAY,Oakland,CA
BURG - AUTO,12/23/16 20:30,16-917751,BURGLARY-AUTO,04X,1900 SAN PABLO AV,Oakland,CA
BURG - AUTO,1/6/17 21:00,17-900410,BURGLARY-AUTO,01X,WEBSTER ST & EMBARCADERO WEST,Oakland,CA
BURG - AUTO,1/6/17 20:00,17-900411,BURGLARY-AUTO,12Y,5900 CHABOT RD,Oakland,CA
RECOVERED O/S STOLEN,1/14/17 9:28,17-002465,VEHICLE THEFT - AUTO,24X,1900 CROSBY AV,Oakland,CA
VANDALISM,1/6/17 2:00,17-900414,VANDALISM,31Z,11000 ESTEPA DR,Oakland,CA
BURG - AUTO,1/6/17 18:30,17-900415,BURGLARY-AUTO,13Y,6100 THORNHILL DR,Oakland,CA
VANDALISM,1/6/17 17:30,17-900416,VANDALISM,03Y,500 10TH ST,Oakland,CA
VANDALISM,12/25/16 19:00,16-067947,VANDALISM,24Y,4000 WALNUT ST,Oakland,CA
STOLEN VEHICLE,1/14/17 15:00,17-002460,VEHICLE THEFT - AUTO,20X,1300 BLK OF 25TH AVENUE,Oakland,CA
BURG - AUTO,1/6/17 14:15,17-900395,BURGLARY-AUTO,77X,DOVER ST,Oakland,CA
BURG - RESIDENTIAL,1/6/17 6:15,17-900397,BURGLARY-FORCIBLE ENTRY,08X,00 FAIRMOUNT AV,Oakland,CA
BURG - AUTO,1/6/17 8:15,17-900398,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA
BURG - AUTO,12/13/16 18:00,16-916975,BURGLARY-AUTO,19X,500 EMBARCADERO,Oakland,CA
BURG - AUTO,1/6/17 18:45,17-900399,BURGLARY-AUTO,22X,3400 FRUITVALE AV,Oakland,CA
BURG - AUTO,1/6/17 18:20,17-900402,BURGLARY-AUTO,01X,100 CLAY ST,Oakland,CA
BURG - AUTO,1/6/17 19:00,17-900403,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA
VANDALISM,12/30/16 7:35,17-900001,VANDALISM,12X,4900 SHATTUCK AV,Oakland,CA
GRAND THEFT,12/30/16 9:30,17-900005,GRAND THEFT,03X,13TH ST & 14TH ST,Oakland,CA
VANDALISM,12/13/16 7:00,16-917005,VANDALISM,30Y,2700 RITCHIE ST,Oakland,CA
BURG - AUTO,12/30/16 0:00,17-900006,BURGLARY-AUTO,10Y,800 59TH ST,Oakland,CA
BURG - AUTO,12/30/16 10:25,17-900007,BURGLARY-AUTO,26X,5400 COLISEUM WY,Oakland,CA
THREATS,1/14/17 10:57,17-002435,THREAT CRIME:INT:TERRORIZE,12X,4900 SHATTUCK AV,Oakland,CA
MISDEMEANOR ASSAULT,1/14/17 9:00,17-002436,BATTERY,34X,1400 92ND AVE,Oakland,CA
STOLEN VEHICLE,12/9/16 19:30,16-065204,VEHICLE THEFT - AUTO,27Y,5500 E 16TH ST,Oakland,CA
PROSTITUTION,12/9/16 9:19,16-065206,DISORDERLY CONDUCT:PROSTITUTION,32Y,9900 MACARTHUR BLVD,Oakland,CA
STOLEN VEHICLE,1/13/17 20:00,17-002438,VEHICLE THEFT - AUTO,30Y,8000 SAN LEANDRO STREET,Oakland,CA
MISDEMEANOR ASSAULT,1/14/17 9:30,17-002440,BATTERY,23X,FRUITVALE AV & E 9TH ST,Oakland,CA
DISORDERLY CONDUCT,1/12/17 15:30,17-002441,DISTURB THE PEACE,27X,HIGH ST & FOOTHILL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,1/14/17 12:33,17-002443,BATTERY,26Y,6600 LION WAY,Oakland,CA
DOMESTIC VIOLENCE,1/14/17 13:10,17-002445,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,400 JONES AV,Oakland,CA
DOMESTIC VIOLENCE,1/13/17 21:00,17-002448,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,9800 INTERNATIONAL BLVD,Oakland,CA
BURG - AUTO,12/12/16 6:14,16-916955,BURGLARY-AUTO,04X,1700 TELEGRAPH AV,Oakland,CA
ROBBERY,1/14/17 13:15,17-002449,ROBBERY-FIREARM,23X,3200 E. 8TH ST.,Oakland,CA
WEAPONS,1/14/17 14:13,17-002456,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,19X,1900 E 15TH ST,Oakland,CA
PETTY THEFT,1/14/17 18:04,17-002490,THEFT,32Y,9800 MACARTHUR BLVD,Oakland,CA
STOLEN VEHICLE,1/13/17 22:30,17-002417,VEHICLE THEFT - AUTO,14X,200 JAYNE AV,Oakland,CA
STOLEN VEHICLE,1/13/17 20:30,17-002419,VEHICLE THEFT - AUTO,33X,9300 C STREET,Oakland,CA
PETTY THEFT,1/6/17 18:45,17-900437,THEFT,01X,200 HARRISON ST,Oakland,CA
GRAND THEFT,1/14/17 10:15,17-002423,THEFT,19X,400 9TH AV,Oakland,CA
STOLEN VEHICLE,1/14/17 5:00,17-002425,VEHICLE THEFT - AUTO,05Y,1700 16TH ST,Oakland,CA
STOLEN VEHICLE,1/13/17 21:00,17-002426,VEHICLE THEFT - AUTO,32Y,2600 109TH AVENUE,Oakland,CA
BURG - RESIDENTIAL,1/12/17 11:00,17-002427,BURGLARY-FORCIBLE ENTRY,20X,1500 26TH AVE,Oakland,CA
STOLEN VEHICLE,1/13/17 20:00,17-002428,VEHICLE THEFT - AUTO,34X,8400 BLK OF PLYMOUTH AVE,Oakland,CA
STOLEN VEHICLE,1/13/17 22:30,17-002430,VEHICLE THEFT - AUTO,12Y,5300 MILES AV,Oakland,CA
STOLEN VEHICLE,1/13/17 19:00,17-002432,VEHICLE THEFT - AUTO,33X,1200 83RD AV,Oakland,CA
STOLEN VEHICLE,1/13/17 19:00,17-002433,VEHICLE THEFT - AUTO,21Y,3100 E 27TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/14/17 11:07,17-002434,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,2700 SHORT ST,Oakland,CA
PETTY THEFT,1/7/17 14:29,17-900427,THEFT,12Y,5800 COLLEGE AV,Oakland,CA
BURG - AUTO,11/27/16 12:00,16-916058,BURGLARY-AUTO,22Y,10900 SKYLINE BLVD,Oakland,CA
BURG - AUTO,11/27/16 0:10,16-916059,BURGLARY-AUTO,12X,43RD ST & TELEGRAPH AV,Oakland,CA
PETTY THEFT,11/27/16 12:00,16-916060,THEFT,16Y,800 ALMA PL,Oakland,CA
PETTY THEFT,11/27/16 13:30,16-916063,THEFT,03Y,600 14TH ST,Oakland,CA
BURG - AUTO,11/27/16 0:20,16-916064,BURGLARY-AUTO,01X,300 FRANKLIN ST,Oakland,CA
BURG - AUTO,11/27/16 17:45,16-916066,BURGLARY-AUTO,77X,WEST ST,Oakland,CA
BURG - AUTO,11/27/16 14:40,16-916069,BURGLARY-AUTO,77X,OAKLAND COLISEUM,Oakland,CA
VANDALISM,11/27/16 10:45,16-916076,VANDALISM,77X,NEWTON AVE,Oakland,CA
BURG - AUTO,1/7/17 17:30,17-900432,BURGLARY-AUTO,17X,500 E 20TH ST,Oakland,CA
FRAUD,1/7/17 15:35,17-900433,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,07X,3200 MAGNOLIA ST,Oakland,CA
PETTY THEFT,12/14/16 20:05,16-066086,THEFT,30X,7800 ASH ST,Oakland,CA
BURG - AUTO,1/7/17 16:30,17-900434,BURGLARY-AUTO,03X,200 8TH ST,Oakland,CA
PETTY THEFT,11/27/16 14:30,16-916182,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA
PETTY THEFT,12/19/16 0:00,16-067102,THEFT,21Y,3200 ARKANSAS ST,Oakland,CA
FELONY ASSAULT,1/14/17 2:00,17-002396,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,400 7TH ST,Oakland,CA
MISDEMEANOR ASSAULT,1/14/17 5:00,17-002397,BATTERY,27Y,6500 INTERNATIONAL BLVD,Oakland,CA
ROBBERY,1/5/17 19:00,17-001264,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",05X,1400 ADELINE ST,Oakland,CA
OTHER,1/14/17 2:00,17-002398,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,13Z,300 SOMERSET RD,Oakland,CA
STOLEN VEHICLE,1/13/17 15:00,17-002416,VEHICLE THEFT - AUTO,09X,4400 MONTGOMERY ST,Oakland,CA
STOLEN VEHICLE,12/14/16 21:00,16-066041,VEHICLE THEFT - AUTO,21X,2200 25TH AV,Oakland,CA
STOLEN VEHICLE,12/19/16 0:00,16-066930,VEHICLE THEFT - AUTO,18X,1700 19TH AV,Oakland,CA
STOLEN VEHICLE,1/14/17 18:00,17-002514,VEHICLE THEFT - AUTO,23X,3900 ALAMEDA AV,Oakland,CA
PETTY THEFT,1/11/17 16:00,17-002515,THEFT,31Y,600 TYLER ST,Oakland,CA
STOLEN VEHICLE,12/19/16 23:00,16-066936,VEHICLE THEFT - AUTO,31Y,300 BURLWOOD AV,Oakland,CA
STOLEN VEHICLE,12/19/16 23:00,16-066937,VEHICLE THEFT - AUTO,06X,600 35TH ST,Oakland,CA
BURG - RESIDENTIAL,1/13/17 10:50,17-002488,BURGLARY-NO FORCE,02X,1100 12TH ST,Oakland,CA
,2/8/17 19:00,17-007274,PETTY THEFT:$50-,15X,500 RADNOR RD,Oakland,CA
NARCOTICS,12/22/16 13:40,16-067287,POSSESS NARCOTIC CONTROLLED SUBSTANCE,18Y,2100 E 29TH ST,Oakland,CA
MISDEMEANOR ASSAULT,12/22/16 0:30,16-067290,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,18Y,2900 22ND AV,Oakland,CA
,2/8/17 6:00,17-007280,THEFT,32Y,2000 107TH AV,Oakland,CA
,2/8/17 21:00,17-007281,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1300 85TH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/25/16 23:15,16-067944,BATTERY,04X,500 21ST ST,Oakland,CA
PETTY THEFT,11/11/16 2:00,16-060764,THEFT,04X,17TH ST & TELEGRAPH AV,Oakland,CA
FRAUD,1/2/17 0:00,17-003351,GET CREDIT/ETC OTHER'S ID,22X,2700 MOUNTAIN BLVD,Oakland,CA
BURG - AUTO,12/22/16 14:45,16-067298,BURGLARY-AUTO,30Y,7800 STERLING DR,Oakland,CA
WEAPONS,12/22/16 15:19,16-067311,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,29X,6200 BANCROFT AV,Oakland,CA
WEAPONS,12/22/16 16:10,16-067316,CARRY CONCEALED WEAPON IN VEHICLE,19X,1300 9TH AV,Oakland,CA
BURG - AUTO,12/22/16 14:00,16-067320,BURGLARY-AUTO,23X,4000 ALAMEDA AV,Oakland,CA
FELONY ASSAULT,12/22/16 15:10,16-067323,EXHIBIT FIREARM,05X,1000 21ST ST,Oakland,CA
BURG - AUTO,11/27/16 11:55,16-916044,BURGLARY-AUTO,77X,500 E 28TH & TELEGRAPH,Oakland,CA
ROBBERY,1/14/17 0:45,17-002372,ROBBERY-FIREARM,26Y,IFO 923 76TH AVENUE,Oakland,CA
VANDALISM,11/27/16 13:50,16-916046,VANDALISM,02X,1000 10TH ST,Oakland,CA
BURG - AUTO,11/27/16 12:00,16-916047,BURGLARY-AUTO,03X,13TH ST & WEBSTER ST,Oakland,CA
ROBBERY,1/14/17 0:53,17-002373,ROBBERY-FIREARM,28X,3300 SIMMONS ST,Oakland,CA
FELONY ASSAULT,1/14/17 1:16,17-002376,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,1500 55TH AV,Oakland,CA
ROBBERY,1/14/17 1:10,17-002379,ROBBERY-KNIFE OR CUTTING INSTRUMENT,06X,3800 MARTIN LUTHER KING JR W,Oakland,CA
DOMESTIC VIOLENCE,1/14/17 1:30,17-002381,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,2000 CHURCH ST,Oakland,CA
STOLEN VEHICLE,1/13/17 14:17,17-002387,VEHICLE THEFT - AUTO,18X,2000 17TH AV,Oakland,CA
BURG - RESIDENTIAL,1/13/17 11:30,17-002395,BURGLARY-FORCIBLE ENTRY,21Y,2300 FRUITVALE AV,Oakland,CA
VANDALISM,11/27/16 14:20,16-916051,VANDALISM,04X,1600 BROADWAY,Oakland,CA
VANDALISM,11/27/16 13:40,16-916053,VANDALISM,77X,0,Oakland,CA
VANDALISM,11/27/16 11:00,16-916054,VANDALISM,35Y,200 COVINGTON ST,Oakland,CA
PETTY THEFT,11/27/16 1:30,16-916056,THEFT,04X,1700 SAN PABLO AV,Oakland,CA
MISDEMEANOR ASSAULT,12/22/16 20:45,16-067354,BATTERY,31Z,100 CATRON DR,Oakland,CA
